      gene      | go_accession |                                                                                           go_term                                                                                           
 Smp_077880.2   | GO:0004859   | phospholipase inhibitor activity
 Smp_053460.1   | GO:0016757   | transferase activity, transferring glycosyl groups
 Smp_053460.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_078400.1   | GO:0004335   | galactokinase activity
 Smp_043390.1   | GO:0004563   | beta-N-acetylhexosaminidase activity
 Smp_043390.1   | GO:0008360   | regulation of cell shape
 Smp_043390.1   | GO:0009254   | peptidoglycan turnover
 Smp_093930.3   | GO:0004714   | transmembrane receptor protein tyrosine kinase activity
 Smp_093930.3   | GO:0007169   | transmembrane receptor protein tyrosine kinase signaling pathway
 Smp_128680.1   | GO:0004806   | triglyceride lipase activity
 Smp_128680.1   | GO:0016042   | lipid catabolic process
 Smp_128680.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_128680.1   | GO:0005794   | Golgi apparatus
 Smp_012230.2.1 | GO:0004867   | serine-type endopeptidase inhibitor activity
 Smp_015630.1   | GO:0004889   | acetylcholine-activated cation-selective channel activity
 Smp_015630.1   | GO:0006811   | ion transport
 Smp_015630.1   | GO:0030054   | cell junction
 Smp_015630.1   | GO:0045211   | postsynaptic membrane
 Smp_015710.1   | GO:0006096   | glycolytic process
 Smp_130800.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_015880.1   | GO:0016651   | oxidoreductase activity, acting on NAD(P)H
 Smp_015880.1   | GO:0051341   | regulation of oxidoreductase activity
 Smp_152330.1   | GO:0004691   | cAMP-dependent protein kinase activity
 Smp_165830.1   | GO:0000049   | tRNA binding
 Smp_078310.2   | GO:0051028   | mRNA transport
 Smp_145870.1   | GO:0004177   | aminopeptidase activity
 Smp_165470.1   | GO:0004714   | transmembrane receptor protein tyrosine kinase activity
 Smp_165470.1   | GO:0007169   | transmembrane receptor protein tyrosine kinase signaling pathway
 Smp_173900.1   | GO:0006470   | protein dephosphorylation
 Smp_047060.1   | GO:0005746   | mitochondrial respiratory chain
 Smp_147360.1   | GO:0008380   | RNA splicing
 Smp_061940.2   | GO:0009165   | nucleotide biosynthetic process
 Smp_061940.2   | GO:0006139   | nucleobase-containing compound metabolic process
 Smp_061920.1   | GO:0006289   | nucleotide-excision repair
 Smp_061870.1   | GO:0005746   | mitochondrial respiratory chain
 Smp_061870.1   | GO:0008121   | ubiquinol-cytochrome-c reductase activity
 Smp_061870.1   | GO:0006118   | obsolete electron transport (obsolete GO:0006118)
 Smp_155420.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_153530.1   | GO:0004550   | nucleoside diphosphate kinase activity
 Smp_153530.1   | GO:0006183   | GTP biosynthetic process
 Smp_153530.1   | GO:0006228   | UTP biosynthetic process
 Smp_058170.2   | GO:0000175   | 3'-5'-exoribonuclease activity
 Smp_058170.2   | GO:0006396   | RNA processing
 Smp_074710.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_065770.2   | GO:0015780   | nucleotide-sugar transport
 Smp_065770.2   | GO:0005794   | Golgi apparatus
 Smp_045940.1   | GO:0019538   | protein metabolic process
 Smp_046060.2   | GO:0006941   | striated muscle contraction
 Smp_046060.2   | GO:0005863   | striated muscle myosin thick filament
 Smp_046060.1   | GO:0006941   | striated muscle contraction
 Smp_046060.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_046120.1   | GO:0031410   | cytoplasmic vesicle
 Smp_046140.1   | GO:0004707   | MAP kinase activity
 Smp_213910.1   | GO:0005581   | collagen trimer
 Smp_213910.1   | GO:0005201   | extracellular matrix structural constituent
 Smp_213950.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_213950.1   | GO:0005516   | calmodulin binding
 Smp_213950.1   | GO:0006941   | striated muscle contraction
 Smp_213950.1   | GO:0000226   | microtubule cytoskeleton organization
 Smp_152960.1   | GO:0006887   | exocytosis
 Smp_056360.8   | GO:0005516   | calmodulin binding
 Smp_056360.8   | GO:0006941   | striated muscle contraction
 Smp_056360.8   | GO:0005863   | striated muscle myosin thick filament
 Smp_184350.1   | GO:0005794   | Golgi apparatus
 Smp_214370.1   | GO:0005794   | Golgi apparatus
 Smp_084320.1   | GO:0008430   | selenium binding
 Smp_154470.1   | GO:0006470   | protein dephosphorylation
 Smp_168620.1   | GO:0016055   | Wnt signaling pathway
 Smp_099090.1   | GO:0005794   | Golgi apparatus
 Smp_084140.3   | GO:0017136   | NAD-dependent histone deacetylase activity
 Smp_180040.1   | GO:0004331   | fructose-2,6-bisphosphate 2-phosphatase activity
 Smp_180350.1   | GO:0004930   | G-protein coupled receptor activity
 Smp_180350.1   | GO:0007186   | G-protein coupled receptor signaling pathway
 Smp_074500.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_042630.1   | GO:0008168   | methyltransferase activity
 Smp_168510.1   | GO:0005516   | calmodulin binding
 Smp_168510.1   | GO:0006941   | striated muscle contraction
 Smp_168510.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_071600.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_161130.1   | GO:0005794   | Golgi apparatus
 Smp_161160.1   | GO:0006396   | RNA processing
 Smp_155940.1   | GO:0004697   | protein kinase C activity
 Smp_155940.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_155960.1   | GO:0004707   | MAP kinase activity
 Smp_139740.1   | GO:0051056   | regulation of small GTPase mediated signal transduction
 Smp_032420.1   | GO:0004252   | serine-type endopeptidase activity
 Smp_032370.1   | GO:0006633   | fatty acid biosynthetic process
 Smp_076030.1   | GO:0008285   | negative regulation of cell proliferation
 Smp_136510.1   | GO:0005097   | Rab GTPase activator activity (obsolete GO:Rab GTPase activator activity)
 Smp_136510.1   | GO:0005625   | obsolete soluble fraction (obsolete GO:0005625)
 Smp_131570.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_131560.1   | GO:0004721   | phosphoprotein phosphatase activity
 Smp_163900.1   | GO:0031410   | cytoplasmic vesicle
 Smp_163830.1   | GO:0004829   | threonine-tRNA ligase activity
 Smp_163830.1   | GO:0006435   | threonyl-tRNA aminoacylation
 Smp_077230.1   | GO:0005794   | Golgi apparatus
 Smp_136580.1   | GO:0006887   | exocytosis
 Smp_136580.1   | GO:0005935   | cellular bud neck
 Smp_058700.1   | GO:0008430   | selenium binding
 Smp_058690.1   | GO:0008430   | selenium binding
 Smp_105340.1   | GO:0006811   | ion transport
 Smp_130940.1   | GO:0005794   | Golgi apparatus
 Smp_209000.1   | GO:0005516   | calmodulin binding
 Smp_130950.1   | GO:0005516   | calmodulin binding
 Smp_165990.1   | GO:0005794   | Golgi apparatus
 Smp_083340.4   | GO:0006396   | RNA processing
 Smp_083340.3   | GO:0006396   | RNA processing
 Smp_083340.1   | GO:0006396   | RNA processing
 Smp_196980.1   | GO:0005516   | calmodulin binding
 Smp_196980.1   | GO:0006941   | striated muscle contraction
 Smp_196980.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_151670.1   | GO:0004697   | protein kinase C activity
 Smp_151670.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_196600.1   | GO:0008076   | voltage-gated potassium channel complex
 Smp_198750.1   | GO:0008380   | RNA splicing
 Smp_198750.1   | GO:0030054   | cell junction
 Smp_198750.1   | GO:0016607   | nuclear speck
 Smp_176440.1   | GO:0004707   | MAP kinase activity
 Smp_098850.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_163230.1   | GO:0006633   | fatty acid biosynthetic process
 Smp_163210.1   | GO:0005874   | microtubule
 Smp_004420.3   | GO:0001518   | voltage-gated sodium channel complex
 Smp_004310.1   | GO:0015986   | ATP synthesis coupled proton transport
 Smp_004310.1   | GO:0005773   | vacuole
 Smp_110040.1   | GO:0008694   | 3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity
 Smp_129980.1   | GO:0008964   | phosphoenolpyruvate carboxylase activity
 Smp_129980.1   | GO:0006099   | tricarboxylic acid cycle
 Smp_129980.1   | GO:0015977   | carbon fixation
 Smp_053190.1   | GO:0004430   | 1-phosphatidylinositol 4-kinase activity
 Smp_053190.1   | GO:0048017   | inositol lipid-mediated signaling
 Smp_063000.1   | GO:0042626   | ATPase activity, coupled to transmembrane movement of substances
 Smp_072740.1   | GO:0046870   | cadmium ion binding
 Smp_104660.1   | GO:0008380   | RNA splicing
 Smp_051420.1   | GO:0016896   | exoribonuclease activity, producing 5'-phosphomonoesters
 Smp_051420.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_051420.1   | GO:0006261   | DNA-dependent DNA replication
 Smp_051420.1   | GO:0006396   | RNA processing
 Smp_051300.1   | GO:0051028   | mRNA transport
 Smp_133380.1   | GO:0006096   | glycolytic process
 Smp_133490.1   | GO:0004707   | MAP kinase activity
 Smp_212490.1   | GO:0031410   | cytoplasmic vesicle
 Smp_212490.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_167870.1   | GO:0004930   | G-protein coupled receptor activity
 Smp_167870.1   | GO:0007186   | G-protein coupled receptor signaling pathway
 Smp_166500.1   | GO:0008203   | cholesterol metabolic process
 Smp_166530.2   | GO:0008203   | cholesterol metabolic process
 Smp_000510.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_000510.1   | GO:0008360   | regulation of cell shape
 Smp_000510.1   | GO:0009103   | lipopolysaccharide biosynthetic process
 Smp_032180.1   | GO:0005794   | Golgi apparatus
 Smp_210640.1   | GO:0018024   | histone-lysine N-methyltransferase activity
 Smp_059340.1   | GO:0007186   | G-protein coupled receptor signaling pathway
 Smp_092580.1   | GO:0007186   | G-protein coupled receptor signaling pathway
 Smp_150340.1   | GO:0015293   | symporter activity
 Smp_150340.1   | GO:0015711   | organic anion transport
 Smp_132950.1   | GO:0010181   | FMN binding
 Smp_132980.2   | GO:0005794   | Golgi apparatus
 Smp_066410.1   | GO:0004742   | dihydrolipoyllysine-residue acetyltransferase activity
 Smp_066410.1   | GO:0006096   | glycolytic process
 Smp_066410.1   | GO:0006099   | tricarboxylic acid cycle
 Smp_066410.1   | GO:0045252   | oxoglutarate dehydrogenase complex
 Smp_005260.2   | GO:0051028   | mRNA transport
 Smp_101630.1   | GO:0016055   | Wnt signaling pathway
 Smp_101630.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_096520.1   | GO:0031410   | cytoplasmic vesicle
 Smp_096520.1   | GO:0015293   | symporter activity
 Smp_096520.1   | GO:0006820   | anion transport
 Smp_155520.1   | GO:0005794   | Golgi apparatus
 Smp_062080.1   | GO:0004867   | serine-type endopeptidase inhibitor activity
 Smp_062070.2   | GO:0006118   | obsolete electron transport (obsolete GO:0006118)
 Smp_175320.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_069120.1   | GO:0030054   | cell junction
 Smp_069720.1   | GO:0007156   | homophilic cell adhesion via plasma membrane adhesion molecules
 Smp_138030.1   | GO:0018024   | histone-lysine N-methyltransferase activity
 Smp_151100.1   | GO:0005794   | Golgi apparatus
 Smp_067990.1   | GO:0043687   | post-translational protein modification
 Smp_020540.2   | GO:0030054   | cell junction
 Smp_007540.1   | GO:0006401   | RNA catabolic process
 Smp_057620.1   | GO:0005794   | Golgi apparatus
 Smp_057620.1   | GO:0016757   | transferase activity, transferring glycosyl groups
 Smp_057620.1   | GO:0005529   | sugar binding (obsolete GO:sugar binding)
 Smp_153140.1   | GO:0005516   | calmodulin binding
 Smp_153140.1   | GO:0006941   | striated muscle contraction
 Smp_153140.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_072090.1   | GO:0006633   | fatty acid biosynthetic process
 Smp_072090.2   | GO:0006633   | fatty acid biosynthetic process
 Smp_176200.1   | GO:0004784   | superoxide dismutase activity
 Smp_176200.1   | GO:0006801   | superoxide metabolic process
 Smp_085500.1   | GO:0004109   | coproporphyrinogen oxidase activity
 Smp_193120.1   | GO:0005516   | calmodulin binding
 Smp_193120.1   | GO:0006941   | striated muscle contraction
 Smp_193120.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_176300.1   | GO:0005516   | calmodulin binding
 Smp_176300.1   | GO:0006941   | striated muscle contraction
 Smp_176300.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_110050.1   | GO:0004714   | transmembrane receptor protein tyrosine kinase activity
 Smp_110050.1   | GO:0007169   | transmembrane receptor protein tyrosine kinase signaling pathway
 Smp_129260.1   | GO:0006471   | protein ADP-ribosylation
 Smp_129190.1   | GO:0006811   | ion transport
 Smp_174810.1   | GO:0004784   | superoxide dismutase activity
 Smp_174810.1   | GO:0006801   | superoxide metabolic process
 Smp_175810.1   | GO:0004523   | RNA-DNA hybrid ribonuclease activity
 Smp_175810.1   | GO:0006401   | RNA catabolic process
 Smp_176370.1   | GO:0005097   | Rab GTPase activator activity (obsolete GO:Rab GTPase activator activity)
 Smp_176370.1   | GO:0032313   | regulation of Rab GTPase activity (obsolete GO:regulation of Rab GTPase activity)
 Smp_145130.1   | GO:0005874   | microtubule
 Smp_042340.1   | GO:0030054   | cell junction
 Smp_156580.1   | GO:0004714   | transmembrane receptor protein tyrosine kinase activity
 Smp_156580.1   | GO:0007169   | transmembrane receptor protein tyrosine kinase signaling pathway
 Smp_180850.1   | GO:0006817   | phosphate ion transport
 Smp_070930.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_212370.1   | GO:0006633   | fatty acid biosynthetic process
 Smp_082570.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_166910.1   | GO:0030955   | potassium ion binding
 Smp_166910.1   | GO:0008076   | voltage-gated potassium channel complex
 Smp_180530.1   | GO:0006006   | glucose metabolic process
 Smp_062920.1   | GO:0016481   | negative regulation of transcription (obsolete GO:0016481)
 Smp_169730.1   | GO:0051015   | actin filament binding
 Smp_120660.1   | GO:0030246   | carbohydrate binding
 Smp_212020.1   | GO:0008203   | cholesterol metabolic process
 Smp_212020.1   | GO:0031410   | cytoplasmic vesicle
 Smp_212020.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_212020.1   | GO:0005794   | Golgi apparatus
 Smp_212010.1   | GO:0008203   | cholesterol metabolic process
 Smp_212010.1   | GO:0031410   | cytoplasmic vesicle
 Smp_212010.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_212010.1   | GO:0005794   | Golgi apparatus
 Smp_027910.1   | GO:0001965   | G-protein alpha-subunit binding
 Smp_199290.1   | GO:0030955   | potassium ion binding
 Smp_030500.2   | GO:0046167   | glycerol-3-phosphate biosynthetic process
 Smp_108390.1   | GO:0006334   | nucleosome assembly
 Smp_194090.1   | GO:0004295   | obsolete trypsin activity (obsolete GO:0004295)
 Smp_194090.1   | GO:0004252   | serine-type endopeptidase activity
 Smp_055850.1   | GO:0004829   | threonine-tRNA ligase activity
 Smp_055850.1   | GO:0006435   | threonyl-tRNA aminoacylation
 Smp_199390.1   | GO:0005529   | sugar binding (obsolete GO:sugar binding)
 Smp_176130.1   | GO:0015992   | proton transport
 Smp_176100.1   | GO:0005794   | Golgi apparatus
 Smp_177130.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_177130.1   | GO:0005773   | vacuole
 Smp_192580.1   | GO:0006887   | exocytosis
 Smp_192580.1   | GO:0030054   | cell junction
 Smp_192580.1   | GO:0045211   | postsynaptic membrane
 Smp_199540.1   | GO:0005219   | ryanodine-sensitive calcium-release channel activity
 Smp_166460.1   | GO:0005794   | Golgi apparatus
 Smp_170820.1   | GO:0042626   | ATPase activity, coupled to transmembrane movement of substances
 Smp_165670.1   | GO:0006865   | amino acid transport
 Smp_199660.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_061590.2   | GO:0016779   | nucleotidyltransferase activity
 Smp_061590.2   | GO:0003968   | RNA-directed RNA polymerase activity
 Smp_061590.2   | GO:0019082   | viral protein processing
 Smp_100310.1   | GO:0005516   | calmodulin binding
 Smp_100310.1   | GO:0006941   | striated muscle contraction
 Smp_100310.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_199800.1   | GO:0006269   | DNA replication, synthesis of RNA primer
 Smp_001360.1   | GO:0004798   | thymidylate kinase activity
 Smp_100380.1   | GO:0007059   | chromosome segregation
 Smp_186540.1   | GO:0004016   | adenylate cyclase activity
 Smp_186540.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_033930.1   | GO:0008289   | lipid binding
 Smp_124300.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_124190.1   | GO:0005044   | scavenger receptor activity
 Smp_124160.2   | GO:0008168   | methyltransferase activity
 Smp_164940.1   | GO:0000175   | 3'-5'-exoribonuclease activity
 Smp_164940.1   | GO:0006396   | RNA processing
 Smp_194870.1   | GO:0006334   | nucleosome assembly
 Smp_034940.1   | GO:0006941   | striated muscle contraction
 Smp_034940.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_034870.1   | GO:0031410   | cytoplasmic vesicle
 Smp_034870.1   | GO:0030131   | clathrin adaptor complex
 Smp_034870.1   | GO:0005794   | Golgi apparatus
 Smp_034870.1   | GO:0030117   | membrane coat
 Smp_081260.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_093210.1   | GO:0050896   | response to stimulus
 Smp_034700.1   | GO:0006118   | obsolete electron transport (obsolete GO:0006118)
 Smp_129060.1   | GO:0031410   | cytoplasmic vesicle
 Smp_129060.1   | GO:0030054   | cell junction
 Smp_129060.1   | GO:0015293   | symporter activity
 Smp_129080.1   | GO:0015986   | ATP synthesis coupled proton transport
 Smp_012930.1   | GO:0030955   | potassium ion binding
 Smp_006740.1   | GO:0006941   | striated muscle contraction
 Smp_006740.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_006720.2   | GO:0031410   | cytoplasmic vesicle
 Smp_161730.1   | GO:0051028   | mRNA transport
 Smp_210770.1   | GO:0007034   | vacuolar transport
 Smp_210780.1   | GO:0007034   | vacuolar transport
 Smp_161870.1   | GO:0004252   | serine-type endopeptidase activity
 Smp_089180.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_180290.1   | GO:0030054   | cell junction
 Smp_180290.1   | GO:0045211   | postsynaptic membrane
 Smp_196790.1   | GO:0033743   | peptide-methionine (R)-S-oxide reductase activity
 Smp_120920.2   | GO:0004550   | nucleoside diphosphate kinase activity
 Smp_120920.2   | GO:0006183   | GTP biosynthetic process
 Smp_120920.2   | GO:0006228   | UTP biosynthetic process
 Smp_172390.1   | GO:0008643   | carbohydrate transport
 Smp_172390.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_172390.1   | GO:0005794   | Golgi apparatus
 Smp_210450.1   | GO:0008802   | betaine-aldehyde dehydrogenase activity
 Smp_007210.1   | GO:0005097   | Rab GTPase activator activity (obsolete GO:Rab GTPase activator activity)
 Smp_007210.1   | GO:0032313   | regulation of Rab GTPase activity (obsolete GO:regulation of Rab GTPase activity)
 Smp_152740.1   | GO:0005874   | microtubule
 Smp_056970.3   | GO:0004365   | glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
 Smp_056970.3   | GO:0006096   | glycolytic process
 Smp_056970.4   | GO:0004365   | glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
 Smp_056970.4   | GO:0006096   | glycolytic process
 Smp_057060.1   | GO:0003986   | acetyl-CoA hydrolase activity
 Smp_196130.1   | GO:0008430   | selenium binding
 Smp_093440.1   | GO:0000049   | tRNA binding
 Smp_124920.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_036180.1   | GO:0004143   | diacylglycerol kinase activity
 Smp_060610.1   | GO:0008253   | 5'-nucleotidase activity
 Smp_154650.1   | GO:0004721   | phosphoprotein phosphatase activity
 Smp_060480.1   | GO:0030054   | cell junction
 Smp_210810.1   | GO:0004697   | protein kinase C activity
 Smp_210810.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_196240.1   | GO:0007156   | homophilic cell adhesion via plasma membrane adhesion molecules
 Smp_126540.1   | GO:0005201   | extracellular matrix structural constituent
 Smp_126540.1   | GO:0006817   | phosphate ion transport
 Smp_126540.1   | GO:0005581   | collagen trimer
 Smp_040970.3   | GO:0015078   | hydrogen ion transmembrane transporter activity
 Smp_040970.3   | GO:0015992   | proton transport
 Smp_040970.3   | GO:0031410   | cytoplasmic vesicle
 Smp_144560.1   | GO:0005794   | Golgi apparatus
 Smp_144590.1   | GO:0051056   | regulation of small GTPase mediated signal transduction
 Smp_160780.1   | GO:0008076   | voltage-gated potassium channel complex
 Smp_160780.1   | GO:0030955   | potassium ion binding
 Smp_077980.1   | GO:0004252   | serine-type endopeptidase activity
 Smp_077980.1   | GO:0030141   | secretory granule
 Smp_169380.1   | GO:0006470   | protein dephosphorylation
 Smp_086860.1   | GO:0006334   | nucleosome assembly
 Smp_147990.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_148650.1   | GO:0005770   | late endosome
 Smp_059790.2   | GO:0009052   | pentose-phosphate shunt, non-oxidative branch
 Smp_059790.2   | GO:0046385   | deoxyribose phosphate biosynthetic process
 Smp_059790.2   | GO:0005789   | endoplasmic reticulum membrane
 Smp_059790.2   | GO:0005777   | peroxisome
 Smp_059790.2   | GO:0048029   | monosaccharide binding
 Smp_196900.1   | GO:0019898   | extrinsic component of membrane
 Smp_060700.1   | GO:0031410   | cytoplasmic vesicle
 Smp_060700.1   | GO:0005794   | Golgi apparatus
 Smp_060700.1   | GO:0030117   | membrane coat
 Smp_154740.1   | GO:0005874   | microtubule
 Smp_067260.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_093670.1   | GO:0031410   | cytoplasmic vesicle
 Smp_063530.1   | GO:0004322   | ferroxidase activity
 Smp_063530.2   | GO:0004322   | ferroxidase activity
 Smp_156410.1   | GO:0015293   | symporter activity
 Smp_176940.1   | GO:0006865   | amino acid transport
 Smp_180200.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_121990.1   | GO:0006072   | glycerol-3-phosphate metabolic process
 Smp_152000.1   | GO:0004811   | tRNA isopentenyltransferase activity (obsolete GO:0004811)
 Smp_152000.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_092490.1   | GO:0009053   | electron donor activity (obsolete GO:0009053)
 Smp_092490.1   | GO:0006118   | obsolete electron transport (obsolete GO:0006118)
 Smp_124470.1   | GO:0004383   | guanylate cyclase activity
 Smp_124470.1   | GO:0007242   | intracellular signaling cascade (obsolete GO:0007242)
 Smp_000020.1   | GO:0004563   | beta-N-acetylhexosaminidase activity
 Smp_009830.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_121420.1   | GO:0006499   | N-terminal protein myristoylation
 Smp_038870.2   | GO:0006118   | obsolete electron transport (obsolete GO:0006118)
 Smp_188670.1   | GO:0005254   | chloride channel activity
 Smp_188670.1   | GO:0031404   | chloride ion binding
 Smp_026820.1   | GO:0005516   | calmodulin binding
 Smp_026820.1   | GO:0006941   | striated muscle contraction
 Smp_026820.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_136700.1   | GO:0008430   | selenium binding
 Smp_197170.1   | GO:0015992   | proton transport
 Smp_139230.1   | GO:0005794   | Golgi apparatus
 Smp_139230.1   | GO:0005529   | sugar binding (obsolete GO:sugar binding)
 Smp_163050.1   | GO:0004450   | isocitrate dehydrogenase (NADP+) activity
 Smp_163050.1   | GO:0009098   | leucine biosynthetic process
 Smp_163050.1   | GO:0006099   | tricarboxylic acid cycle
 Smp_163050.1   | GO:0006097   | glyoxylate cycle
 Smp_099300.1   | GO:0000049   | tRNA binding
 Smp_099310.1   | GO:0006888   | ER to Golgi vesicle-mediated transport
 Smp_099310.1   | GO:0005794   | Golgi apparatus
 Smp_176690.1   | GO:0051056   | regulation of small GTPase mediated signal transduction
 Smp_166060.1   | GO:0016779   | nucleotidyltransferase activity
 Smp_166060.1   | GO:0004523   | RNA-DNA hybrid ribonuclease activity
 Smp_166070.1   | GO:0051056   | regulation of small GTPase mediated signal transduction
 Smp_168870.1   | GO:0005516   | calmodulin binding
 Smp_168870.1   | GO:0006941   | striated muscle contraction
 Smp_168870.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_032820.2   | GO:0005874   | microtubule
 Smp_094390.1   | GO:0015293   | symporter activity
 Smp_094390.1   | GO:0030955   | potassium ion binding
 Smp_094390.1   | GO:0050896   | response to stimulus
 Smp_021910.1   | GO:0008168   | methyltransferase activity
 Smp_134080.1   | GO:0015293   | symporter activity
 Smp_104630.1   | GO:0005874   | microtubule
 Smp_172960.1   | GO:0004867   | serine-type endopeptidase inhibitor activity
 Smp_140700.1   | GO:0004707   | MAP kinase activity
 Smp_068420.1   | GO:0000398   | mRNA splicing, via spliceosome
 Smp_137660.1   | GO:0005874   | microtubule
 Smp_043860.1   | GO:0030955   | potassium ion binding
 Smp_146310.1   | GO:0006261   | DNA-dependent DNA replication
 Smp_176820.1   | GO:0004930   | G-protein coupled receptor activity
 Smp_176820.1   | GO:0007218   | neuropeptide signaling pathway
 Smp_099670.1   | GO:0004930   | G-protein coupled receptor activity
 Smp_099670.1   | GO:0007218   | neuropeptide signaling pathway
 Smp_179940.1   | GO:0005516   | calmodulin binding
 Smp_179940.1   | GO:0006941   | striated muscle contraction
 Smp_179940.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_060910.1   | GO:0008380   | RNA splicing
 Smp_060950.1   | GO:0005794   | Golgi apparatus
 Smp_113620.3   | GO:0051028   | mRNA transport
 Smp_156210.1   | GO:0004930   | G-protein coupled receptor activity
 Smp_156210.1   | GO:0007186   | G-protein coupled receptor signaling pathway
 Smp_156210.1   | GO:0030054   | cell junction
 Smp_156210.1   | GO:0045211   | postsynaptic membrane
 Smp_048940.1   | GO:0019538   | protein metabolic process
 Smp_148480.1   | GO:0008380   | RNA splicing
 Smp_094420.1   | GO:0005084   | Rab escort protein activity (obsolete GO:0005084)
 Smp_135460.1   | GO:0006231   | dTMP biosynthetic process
 Smp_012400.1   | GO:0006470   | protein dephosphorylation
 Smp_128790.1   | GO:0004715   | non-membrane spanning protein tyrosine kinase activity
 Smp_167010.1   | GO:0019898   | extrinsic component of membrane
 Smp_166930.1   | GO:0005794   | Golgi apparatus
 Smp_169030.1   | GO:0004816   | asparagine-tRNA ligase activity
 Smp_122900.1   | GO:0050896   | response to stimulus
 Smp_124430.1   | GO:0031410   | cytoplasmic vesicle
 Smp_124430.1   | GO:0030131   | clathrin adaptor complex
 Smp_124430.1   | GO:0005794   | Golgi apparatus
 Smp_046890.1   | GO:0006470   | protein dephosphorylation
 Smp_147250.2   | GO:0042626   | ATPase activity, coupled to transmembrane movement of substances
 Smp_147250.2   | GO:0005254   | chloride channel activity
 Smp_147250.2   | GO:0031404   | chloride ion binding
 Smp_147250.2   | GO:0006811   | ion transport
 Smp_191220.1   | GO:0005452   | inorganic anion exchanger activity
 Smp_191220.1   | GO:0006820   | anion transport
 Smp_180960.1   | GO:0005452   | inorganic anion exchanger activity
 Smp_180960.1   | GO:0006820   | anion transport
 Smp_212380.1   | GO:0006511   | ubiquitin-dependent protein catabolic process
 Smp_023940.1   | GO:0005516   | calmodulin binding
 Smp_023940.1   | GO:0006941   | striated muscle contraction
 Smp_023940.1   | GO:0005863   | striated muscle myosin thick filament
 Smp_044280.2   | GO:0008168   | methyltransferase activity
 Smp_157950.1   | GO:0005978   | glycogen biosynthetic process
 Smp_046250.1   | GO:0005789   | endoplasmic reticulum membrane
 Smp_046250.1   | GO:0005794   | Golgi apparatus
 Smp_131690.1   | GO:0005516   | calmodulin binding
 Smp_131690.1   | GO:0009931   | calcium-dependent protein serine/threonine kinase activity
 Smp_033610.1   | GO:0005746   | mitochondrial respiratory chain
 Smp_140390.1   | GO:0018024   | histone-lysine N-methyltransferase activity
 Smp_185230.1   | GO:0051028   | mRNA transport
